"commonName","isLinker","module","name","nodeLabel","nodeToolTip","nodeType","sampleNumber","samples","selected","shared name"
"SVIL","false",,"SVIL","SVIL","SVIL","Gene",,"","false","SVIL"
"CCDC13","false",,"CCDC13","CCDC13","CCDC13","Gene",,"","false","CCDC13"
"GBE1","false",,"GBE1","GBE1","GBE1","Gene",,"","false","GBE1"
"ERCC4","false",,"ERCC4","ERCC4","ERCC4","Gene",,"","false","ERCC4"
"FBXO38","false",,"FBXO38","FBXO38","FBXO38","Gene",,"","false","FBXO38"
"SORBS1","false",,"SORBS1","SORBS1","SORBS1","Gene",,"","false","SORBS1"
"PCM1","true",,"PCM1","PCM1","PCM1","Gene",,"","false","PCM1"
"SOX10","false",,"SOX10","SOX10","SOX10","Gene",,"","false","SOX10"
"DSTYK","false",,"DSTYK","DSTYK","DSTYK","Gene",,"","false","DSTYK"
"MAD2L1","true",,"MAD2L1","MAD2L1","MAD2L1","Gene",,"","false","MAD2L1"
"TAF1","true",,"TAF1","TAF1","TAF1","Gene",,"","false","TAF1"
"STK17B","false",,"STK17B","STK17B","STK17B","Gene",,"","false","STK17B"
"EP300","true",,"EP300","EP300","EP300","Gene",,"","false","EP300"
"CDC42","true",,"CDC42","CDC42","CDC42","Gene",,"","false","CDC42"
"UBB","true",,"UBB","UBB","UBB","Gene",,"","false","UBB"
"SYT11","false",,"SYT11","SYT11","SYT11","Gene",,"","false","SYT11"
"PRKN","true",,"PRKN","PRKN","PRKN","Gene",,"","false","PRKN"
"CD55","false",,"CD55","CD55","CD55","Gene",,"","false","CD55"
"WDR12","false",,"WDR12","WDR12","WDR12","Gene",,"","false","WDR12"
"MITF","false",,"MITF","MITF","MITF","Gene",,"","false","MITF"
"CSNK2B","true",,"CSNK2B","CSNK2B","CSNK2B","Gene",,"","false","CSNK2B"
"RHOA","true",,"RHOA","RHOA","RHOA","Gene",,"","false","RHOA"
"AKAP13","false",,"AKAP13","AKAP13","AKAP13","Gene",,"","false","AKAP13"
"HIF1A","true",,"HIF1A","HIF1A","HIF1A","Gene",,"","false","HIF1A"
"CREB1","true",,"CREB1","CREB1","CREB1","Gene",,"","false","CREB1"
"AR","true",,"AR","AR","AR","Gene",,"","false","AR"
"ABL2","true",,"ABL2","ABL2","ABL2","Gene",,"","false","ABL2"
"RASGRF1","false",,"RASGRF1","RASGRF1","RASGRF1","Gene",,"","false","RASGRF1"
"YWHAZ","true",,"YWHAZ","YWHAZ","YWHAZ","Gene",,"","false","YWHAZ"
"PRKACA","true",,"PRKACA","PRKACA","PRKACA","Gene",,"","false","PRKACA"
"TGFBR2","false",,"TGFBR2","TGFBR2","TGFBR2","Gene",,"","false","TGFBR2"
"CBL","true",,"CBL","CBL","CBL","Gene",,"","false","CBL"
"CDK4","true",,"CDK4","CDK4","CDK4","Gene",,"","false","CDK4"
"MAPK3","true",,"MAPK3","MAPK3","MAPK3","Gene",,"","false","MAPK3"
